drug_name,target,ChemicalStructure
(5Z)-7-Oxozeaenol,TAK1,
5-Fluorouracil,Antimetabolite (DNA & RNA),
A-443654,"AKT1, AKT2, AKT3",
A-770041,"LCK, FYN",
A-83-01,TGFB,
ACY-1215,HDAC6,
AGI-6780,IDH2(R140Q),
AICA Ribonucleotide,AMPK agonist,
AKT inhibitor VIII,"AKT1, AKT2, AKT3",
AR-42,HDAC1,CC(C)[C@H](C(=O)NC1=CC=C(C=C1)C(=O)NO)C1=CC=CC=C1
ARRY-520,KIF11,
AS601245,"JNK1, JNK2, JNK2",
AS605240,PI3Kgamma,
AST-1306,"EGFR, ERBB4",
AT-7519,"CDK1, CDK2, CDK4, CDK6, CDK9",ClC1=CC=CC(Cl)=C1C(=O)NC1=CNN=C1C(=O)NC1CCNCC1
AT7867,AKT,
AZ628,BRAF,
AZD6482,PI3Kbeta,
AZD7762,"CHEK1, CHEK2",
AZD8055,"MTORC1, MTORC2",
Afatinib,"ERBB2, EGFR",CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1
Alectinib,ALK,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C3=C(N1)C=C(C=C3)C#N)C2=O
Alisertib,AURKA,COC1=CC(NC2=NC=C3CN=C(C4=C(C=CC(Cl)=C4)C3=N2)C2=C(F)C=CC=C2OC)=CC=C1C(O)=O
Amuvatinib,"KIT, PDGFRA, FLT3",S=C(NCC1=CC=C2OCOC2=C1)N1CCN(CC1)C1=NC=NC2=C1OC1=C2C=CC=C1
Apitolisib,"mTOR, PI3K",[H][C@@](C)(O)C(=O)N1CCN(CC2=C(C)C3=C(S2)C(=NC(=N3)C2=CNC(=N)N=C2)N2CCOCC2)CC1
Ara-G,Anti-metabolite,
Avagacestat,"Amyloid beta20, Amyloid beta40",NC(=O)[C@@H](CCC(F)(F)F)N(CC1=CC=C(C=C1F)C1=NOC=N1)S(=O)(=O)C1=CC=C(Cl)C=C1
Axitinib,"PDGFR, KIT, VEGFR",CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1
BAM7,Bax activator,
BAY-61-3606,SYK,
BI-2536,"PLK1, PLK2, PLK3",
BIBF-1120,"VEGFR, PDGFR, FGFR",
BIX02189,"MEK5, ERK5",
BMS-345541,"IKK1, IKK2",
BMS-509744,ITK,
BMS-536924,"IGF1R, IR",
BMS-754807,"IGF1R, IR",C[C@]1(CCCN1C1=NN2C=CC=C2C(NC2=NNC(=C2)C2CC2)=N1)C(=O)NC1=CN=C(F)C=C1
BX-912,PDK1 (PDPK1),
BX795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC",
Belinostat,HDAC1,ONC(=O)\C=C\C1=CC=CC(=C1)S(=O)(=O)NC1=CC=CC=C1
Bexarotene,Retinioic X receptor (RXR) agonist,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C
Bicalutamide,AR,CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F
Bleomycin,dsDNA break induction,C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CN=CN1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C
Bleomycin (50 uM),dsDNA break induction,
Bortezomib,Proteasome,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
Bosutinib,"SRC, ABL, TEC",COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl
"Brivanib, BMS-540215","VEGFR, PDGFR",
Bryostatin 1,PKC,
C-75,FAS,
"CAP-232, TT-232, TLN-232",Glycolysis,
CAY10566,Stearoyl-CoA desaturase,
CAY10603,"HDAC1, HDAC6",
CCT-018159,HSP90,
CCT007093,PPM1D,
CD532,AURKA,
CGP-082996,CDK4,
CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",
CHIR-99021,"GSK3A, GSK3B",
CI-1033,"EGFR, ERBB2, ERBB4",
CI-1040,"MEK1, MEK2",OC(=NOCC1CC1)C1=C(NC2=C(Cl)C=C(I)C=C2)C(F)=C(F)C=C1
CMK,RSK2,
CP466722,ATM,
